,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g2_1,g3_1,g3_2,g4_1,g4_2,g4_3,g4_4,g4_5,g4_6
35,35.0,17.0,44.0,28.0,129.0,17.0,80.0,22.0,19.0,33.0,1068.0,1836.0,1384.0,1888.0,1308.0,336.0,1128.0,872.0,2496.0
36,103.0,6.0,17.0,21.0,125.0,0.0,65.0,2.0,4.0,20.0,1438.0,3378.0,2246.0,3444.0,2064.0,656.0,2154.0,1780.0,6312.0
37,141.0,17.0,29.0,37.0,143.0,13.0,83.0,29.0,26.0,29.0,1872.0,4722.0,2278.0,3628.0,1548.0,368.0,2370.0,2164.0,11544.0
38,61.0,0.0,12.0,21.0,9.0,2.0,0.0,8.0,13.0,0.0,462.0,1566.0,646.0,944.0,282.0,88.0,918.0,884.0,4800.0
39,79.0,5.0,1.0,24.0,238.0,7.0,252.0,0.0,1.0,120.0,2890.0,6492.0,3858.0,6270.0,504.0,56.0,4072.0,3736.0,8424.0
40,30.0,4.0,11.0,71.0,302.0,12.0,0.0,9.0,24.0,22.0,1202.0,1272.0,1286.0,1496.0,618.0,120.0,614.0,412.0,672.0
41,0.0,12.0,11.0,9.0,70.0,13.0,27.0,15.0,5.0,21.0,522.0,1140.0,666.0,836.0,306.0,40.0,678.0,616.0,2592.0
42,84.0,5.0,6.0,46.0,138.0,29.0,8.0,2.0,3.0,12.0,1358.0,3492.0,2004.0,3324.0,1608.0,400.0,2566.0,1812.0,7440.0
43,617.0,17.0,19.0,187.0,187.0,28.0,0.0,21.0,55.0,51.0,5696.0,17100.0,8290.0,14380.0,384.0,24.0,11428.0,11072.0,32328.0
44,275.0,11.0,24.0,116.0,261.0,17.0,126.0,20.0,33.0,53.0,3758.0,9996.0,4472.0,6708.0,84.0,16.0,5376.0,5324.0,17736.0
45,132.0,0.0,1.0,54.0,4.0,6.0,0.0,0.0,4.0,0.0,598.0,810.0,680.0,864.0,372.0,64.0,398.0,296.0,576.0
46,104.0,0.0,8.0,57.0,128.0,17.0,0.0,10.0,36.0,0.0,1036.0,1704.0,1352.0,1862.0,840.0,184.0,1092.0,844.0,1800.0
47,152.0,3.0,7.0,97.0,237.0,8.0,4.0,6.0,10.0,33.0,1900.0,3810.0,2364.0,3324.0,1308.0,248.0,2400.0,1812.0,4680.0
48,0.0,4.0,4.0,7.0,59.0,16.0,18.0,6.0,4.0,24.0,518.0,1302.0,688.0,998.0,414.0,8.0,784.0,676.0,2256.0
49,14.0,14.0,27.0,14.0,62.0,4.0,37.0,15.0,8.0,15.0,642.0,1626.0,894.0,1212.0,300.0,112.0,956.0,1036.0,3744.0
50,122.0,10.0,5.0,66.0,196.0,24.0,3.0,13.0,26.0,23.0,1448.0,2172.0,1954.0,2718.0,1050.0,168.0,1540.0,1128.0,1896.0
51,307.0,20.0,33.0,104.0,310.0,45.0,81.0,42.0,45.0,50.0,4294.0,11736.0,5704.0,8598.0,492.0,16.0,7232.0,6844.0,21600.0
52,26.0,14.0,13.0,8.0,79.0,5.0,142.0,2.0,3.0,24.0,1246.0,3006.0,2148.0,3958.0,1872.0,568.0,2508.0,1852.0,6048.0
53,4.0,76.0,32.0,2.0,126.0,36.0,410.0,46.0,0.0,123.0,2796.0,5598.0,3078.0,3800.0,330.0,16.0,2948.0,2504.0,6768.0
54,224.0,0.0,23.0,68.0,9.0,4.0,0.0,12.0,8.0,0.0,1154.0,2562.0,1514.0,2198.0,774.0,232.0,1422.0,1304.0,4704.0
55,10.0,0.0,4.0,3.0,4.0,3.0,0.0,6.0,4.0,0.0,58.0,102.0,48.0,28.0,12.0,16.0,36.0,68.0,96.0
56,30.0,4.0,11.0,71.0,302.0,12.0,0.0,9.0,24.0,22.0,1202.0,1272.0,1286.0,1496.0,618.0,120.0,614.0,412.0,672.0
